year,date,event
1991 CE,1991-05-21,"Assassination of Rajiv Gandhi, Indian Prime Minister."
1991 CE,1991-07-01,"President George H. W. Bush nominates the controversial Clarence Thomas for the Supreme Court of the United States to replace Thurgood Marshall, who had announced his retirement."
1991 CE,1991-07-01,"The world's first GSM telephone call is made in Finland."
1991 CE,1991-07-10,Boris Yeltsin becomes the first President of Russia.
1991 CE,1991-07-11,"A solar eclipse of record totality occurs in the Northern hemisphere. It is seen by 20 million people in Hawaii, Mexico, and Colombia."
1991 CE,1991-07-22,"Tracy Edwards escapes Jeffrey Dahmer's apartment and flags down a police car and the cops search through Jeffrey's stuff and find photographs of dismembered bodies and other gruesome images, which finally leads to the arrest of Jeffrey Dahmer and ends his killing spree."
1991 CE,1991-08-19,Soviet coup attempt of 1991: A coup occurs in response to a new union treaty to be signed on August 20.
1991 CE,1991-08-25,"Michael Schumacher, regarded as one of the greatest Formula One drivers in history, makes his Formula One debut at the Belgian Grand Prix."
1991 CE,1991-09-17,North and South Korea are admitted to the United Nations.
1991 CE,1991-09-19,Ötzi the Iceman is found in the Alps.
1991 CE,1991-10-03,Speaker of the U.S. House of Representatives Tom Foley announces the closure of the House Bank by the end of the year after revelations that House members have written numerous bad checks.
1991 CE,1991-10-05,Linus Torvalds launches the first version of the Linux kernel.
1992 CE,1992-01-09,Discovery of the Kuiper belt and the first extrasolar planets.
1992 CE,1992-01-16,End of the Salvadorian Civil War.
1992 CE,1992-02-07,"The Maastricht Treaty is signed, creating the European Union."
1992 CE,1992-02-17,"A court in Milwaukee, Wisconsin sentences serial killer Jeffrey Dahmer to 15 terms of life in prison. Dahmer is murdered in prison 2 years later."
1992 CE,1992-04-03,End of communism in Albania.
1992 CE,1992-04-06,The Bosnian War begins.
1992 CE,1992-04-22,"Fuel leaking into a sewer causes a series of explosions in Guadalajara, Mexico; 215 are killed, 1,500 injured."
1992 CE,1992-05-13,Falun Gong is introduced by Li Hongzhi in China.
1992 CE,1992-06-08,"The first World Oceans Day is celebrated, coinciding with the Earth Summit held in Rio de Janeiro, Brazil."
1992 CE,1992-07-21,Transnistria War ends.
1992 CE,1992-10-03,"After performing a song protesting against alleged Catholic Church child sexual abuse, Irish singer-songwriter Sinéad O'Connor rips up a photograph of Pope John Paul II on the US television programme Saturday Night Live, causing huge controversy."
1992 CE,1992-10-04,"El Al Flight 1862, in which a Boeing 747 cargo aircraft of the then state-owned Israeli airline El Al crashes into the Groeneveen and Klein-Kruitberg flats in the Bijlmermeer neighbourhood of Amsterdam, resulting in 43 deaths."
1992 CE,1992-10-06,Lennart Meri becomes the first President of Estonia after regaining independence.
1992 CE,1992-12-18,"The South Korean presidential election is won by Kim Young-sam, the first non-military candidate elected since 1961."
1993 CE,1993-01-01,Velvet Divorce between Czech Republic and Slovakia.
1993 CE,1993-01-20,Bill Clinton is inaugurated as President of the United States.
1993 CE,1993-02-26,1993 World Trade Center bombing.
1993 CE,1993-03-12,"Several bombs explode in Bombay, India, killing 257 and injuring hundreds more."
1993 CE,1993-05-24,Independence of Eritrea.
1993 CE,1993-08-24,1993 child sexual abuse accusations against Michael Jackson.
1993 CE,1993-09-13,Oslo accords end First Intifada between Israel and Palestine.
1993 CE,1993-09-26,The first mission in Biosphere 2 ends after two years.
1993 CE,1993-10-04,"Tanks bombard the Russian parliament, while demonstrators against President Boris Yeltsin rally outside."
1993 CE,1993-11-01,The Maastricht Treaty comes in to effect.
1993 CE,1993-11-30,Release date of Schindler's List.
1993 CE,1993-12-02,Colombian drug lord Pablo Escobar is gunned down by police.
1994 CE,1994-01-01,Establishment of North American Free Trade Agreement (NAFTA).
1994 CE,1994-01-17,"The 6.7 Mw Northridge earthquake strikes the Greater Los Angeles Area with a maximum Mercalli intensity of IX (Violent), leaving 57 people dead and more than 8,700 injured."
1994 CE,1994-02-25,"Cave of the Patriarchs massacre in the West Bank, a shooting massacre carried out by American-Israeli Baruch Goldstein, which resulted in 30 deaths and 125 injuries."
1994 CE,1994-04-06,The assassination of Juvénal Habyarimana and Cyprien Ntaryamira triggers the Rwandan genocide.
1994 CE,1994-05-06,Opening of the Channel Tunnel.
1994 CE,1994-05-10,End of apartheid in South Africa and election of Nelson Mandela.
1994 CE,1994-06-15,Release date of Disney's The Lion King.
1994 CE,1994-06-23,Release date of Forrest Gump.
1994 CE,1994-07-01,Plano Real introduces the new real currency in Brazil.
1994 CE,1994-07-05,"Amazon founded in Bellevue, Washington by Jeff Bezos."
1994 CE,1994-09-28,"The car ferry MS Estonia sinks in the Baltic Sea, killing 852 people."
1994 CE,1994-10-01,Palau gains independence from the United States.
1994 CE,1994-11-05,George Foreman wins the WBA and IBF World Heavyweight Championships by KO'ing Michael Moorer becoming the oldest heavyweight champion in history.
1994 CE,1994-11-08,George W. Bush is elected Governor of Texas.
1994 CE,1994-12-06,"Birth of Giannis Antetokounmpo, basketball player for the Milwaukee Bucks."
1994 CE,1994-12-11,The First Chechen War begins.
1994 CE,1994-12-14,"Construction of the Three Gorges Dam begins in Hubei, China."
1995 CE,1995-01-17,"A 6.9 Mw Great Hanshin earthquake strikes the southern Hyōgo Prefecture of Japan with a maximum Shindo of VII, leaving 5,502–6,434 people dead, and 251,301–310,000 displaced."
1995 CE,1995-03-14,"Astronaut Norman Thagard becomes the first American to ride into space aboard a Russian launch vehicle (the Soyuz TM-21), lifting off from the Baikonur Cosmodrome in Kazakhstan."
1995 CE,1995-03-20,"The Tokyo subway sarin attack, an act of domestic terrorism perpetrated by members of the doomsday cult movement Aum Shinrikyo (now Aleph), in which they released sarin, an extremely toxic synthetic compound, in five coordinated attacks, resulting in 13 deaths and 6,252 injuries."
1995 CE,1995-04-19,American terrorist Timothy McVeigh bombs the Alfred P. Murrah Federal Building in Oklahoma City.
1995 CE,1995-05-14,The Dalai Lama proclaims 6-year-old Gedhun Choekyi Nyima as the 11th reincarnation of the Panchen Lama.
1995 CE,1995-06-29,"The Sampoong Department Store collapse, a structural failure in a department store in Seoul, South Korea, kills 502 people and injures other 1,445."
1995 CE,1995-07-21,The Third Taiwan Strait Crisis begins.
1995 CE,1995-08-24,Release date of Windows 95.
1995 CE,1995-09-03,eBay is founded by Pierre Omidyar.
1995 CE,1995-09-19,The Washington Post and The New York Times publish the Unabomber manifesto.
1995 CE,1995-09-28,Oslo II Accord.
1995 CE,1995-10-03,O. J. Simpson is found not guilty of double murder for the deaths of former wife Nicole Simpson and Ronald Goldman in 1994.
1995 CE,1995-10-16,"The Million Man March is held in Washington, D.C. The event was conceived by Nation of Islam leader Louis Farrakhan."
1995 CE,1995-11-04,"Assassination of Yitzhak Rabin, Israeli Prime Minister and Defence Minister, by Yigal Amir, an Israeli right-wing extremist."
1995 CE,1995-11-22,"Premiere of Toy Story, the first computer-animated feature film and the first Pixar Animation Studios film."
1995 CE,1995-12-14,The signing of the Dayton Accords put an end to the three-and-a-half-year-long Bosnian War.
1996 CE,1996-02-13,Nepalese Civil War begins.
1996 CE,1996-03-23,The Third Taiwan Strait Crisis ends.
1996 CE,1996-04-03,"The FBI arrested Theodore Kaczynski, the suspected Unabomber at his cabin in Lincoln, Montana."
1996 CE,1996-05-10,"A sudden storm engulfs Mount Everest with several climbing teams high on the mountain, leaving eight people dead. By the end of the month, at least four other climbers die in the worst season of fatalities on the mountain to date."
1996 CE,1996-05-11,"After takeoff from Miami, a fire started by improperly handled oxygen canisters in the cargo hold of Atlanta-bound ValuJet Flight 592 causes the Douglas DC-9 to crash in the Florida Everglades, killing all 110 people on board."
1996 CE,1996-07-05,Dolly the sheep becomes the first successful cloned mammal.
1996 CE,1996-07-17,TWA Flight 800 crash.
1996 CE,1996-07-27,Centennial Olympic Park bombing.
1996 CE,1996-08-31,The First Chechen War ends.
1996 CE,1996-09-02,A permanent peace agreement is signed at the Malacañan Palace between the Government of the Philippines and the Moro National Liberation Front.
1996 CE,1996-09-27,"The Taliban government takes control of Afghanistan, creating the Islamic Emirate of Afghanistan."
1996 CE,1996-10-24,The First Congo War begins.
1996 CE,1996-11-01,Release of DVD in Japan.
1997 CE,1997-02-04,"1997 Israeli helicopter disaster, when two Israeli Air Force transport helicopters ferrying Israeli soldiers into Israel's security zone in southern Lebanon collided in mid-air, killing all 73 Israeli military personnel on board."
1997 CE,1997-03-13,"Island of Peace massacre, a mass murder attack that occurred at the Island of Peace on the Israeli-Jordanian border, in which 7 people were killed and 6 injured."
1997 CE,1997-04-01,The first episode of Pokémon airs on TV Tokyo.
1997 CE,1997-04-22,"A 126-day hostage crisis at the residence of the Japanese ambassador in Lima, Peru."
1997 CE,1997-05-02,Tony Blair becomes Prime Minister of the United Kingdom.
1997 CE,1997-05-17,Kabila ousts Mobutu; Zaire becomes the Democratic Republic of the Congo.
1997 CE,1997-06-21,The Women's National Basketball Association (WNBA) plays its first game at The Great Western Forum in Los Angeles.
1997 CE,1997-06-25,J. K. Rowling publishes Harry Potter and the Philosopher's Stone.
1997 CE,1997-07-01,Transfer of sovereignty over Hong Kong from the United Kingdom to China.
1997 CE,1997-07-02,"The Bank of Thailand floats the baht, triggering the Asian financial crisis."
1997 CE,1997-07-17,The F. W. Woolworth Company closes after 117 years in business.
1997 CE,1997-08-02,The First Liberian Civil War ends.
1997 CE,1997-08-29,Netflix is launched.
1997 CE,1997-08-31,"Diana, Princess of Wales is killed in a car accident in Paris."
1997 CE,1997-09-05,Death of Mother Teresa.
1997 CE,1997-11-17,"62 people are killed by 6 Islamic militants outside the Temple of Hatshepsut in Luxor, Egypt."
1997 CE,1997-12-19,Release date of Titanic.
1998 CE,1998-02-02,"Cebu Pacific Flight 387 crashes on the slopes between Mount Sumagaya and Mount Lumot in Claveria, Misamis Oriental, killing all 104 people on board."
1998 CE,1998-02-03,"A United States military pilot causes the deaths of 20 people near Trento, Italy, when his low-flying EA-6B Prowler severs the cable of a cable-car."
1998 CE,1998-02-28,"A study led by Andrew Wakefield is published in The Lancet suggesting an alleged link between MMR vaccine and autism. Now known to be full of data manipulation, the study was instantly controversial and fueled the nascent anti-vaccination movement."
1998 CE,1998-04-10,The Good Friday Agreement brings an end to The Troubles in Northern Ireland.
1998 CE,1998-04-15,Death of Pol Pot.
1998 CE,1998-07-17,"Nicholas II of Russia and his family are buried in St. Catherine Chapel, 80 years after he and his family were killed by the Bolsheviks in 1918."
1998 CE,1998-08-02,The Second Congo War begins.
1998 CE,1998-08-07,Kenya and Tanzania bombings.
1998 CE,1998-08-15,Omagh bombing.
1998 CE,1998-09-04,Google is founded by Larry Page and Sergey Brin.
1998 CE,1998-11-20,"A Russian Proton rocket is launched from the Baikonur Cosmodrome in Kazakhstan, carrying the first segment of the International Space Station, the 21-ton Zarya Module."
1998 CE,1998-12-19,The impeachment of Bill Clinton begins as a result of the Clinton–Lewinsky scandal.
1999 CE,1999-01-01,Euro introduced to the financial markets. Coins and banknotes enter circulation in participating countries in 2002.
1999 CE,1999-02-02,Hugo Chavez becomes President of Venezuela.
1999 CE,1999-04-20,"The Columbine High School massacre in Colorado, United States, causes 15 deaths."
1999 CE,1999-04-21,The Second Liberian Civil War begins.
1999 CE,1999-05-01,The first episode of SpongeBob SquarePants airs on Nickelodeon.
1999 CE,1999-06-11,The end of the Kosovo War ends the Yugoslav Wars.
1999 CE,1999-08-03,"At least 58 people die and hundreds of homes are buried in a massive landslide in Cherry Hills subdivision in Antipolo, Rizal, which has caused by the heavy rains brought by Typhoon Olga."
1999 CE,1999-08-26,The Second Chechen War begins.
1999 CE,1999-10-12,World population reaches 6 billion.
1999 CE,1999-10-31,"EgyptAir Flight 990, travelling from New York City to Cairo, crashes off the coast of Nantucket, Massachusetts, killing all 217 on board."
1999 CE,1999-11-30,ExxonMobil founded.
1999 CE,1999-12-03,"Tori Murden becomes the first woman to cross the Atlantic Ocean by rowboat alone, when she reaches Guadeloupe from the Canary Islands."
1999 CE,1999-12-20,The sovereignty of Macau is transferred from the Portuguese Republic to the People's Republic of China after 442 years of Portuguese settlement.
2000 CE,2000-01-01,The first day of the 3rd millennium is celebrated on New Year's Day; though with dispute.
2000 CE,2000-02-09,Torrential rains in Africa lead to the worst flooding in [until March and kills 800 people.
2000 CE,2000-02-29,Rare century leap year date.
2000 CE,2000-03-10,"Dot-com bubble bursts, causing stock markets worldwide to crash."
2000 CE,2000-03-04,The Sony PlayStation 2 releases in Japan. The system became the highest-selling video game console in history.
2000 CE,2000-03-12,Pope John Paul II apologizes for the wrongdoings by members of the Roman Catholic Church throughout the ages.
2000 CE,2000-03-17,778 members of the Movement for the Restoration of the Ten Commandments of God die in Uganda.
2000 CE,2000-03-26,Vladimir Putin is elected President of Russia.
2000 CE,2000-04-30,"The Canonization of Faustina Kowalska occurs in the presence of 200,000 people and the first Divine Mercy Sunday celebrated worldwide."
2000 CE,2000-05-06,The British Army launches Operation Palliser which effectively ends the Sierra Leone Civil War.
2000 CE,2000-05-11,India becomes the second country to reach 1 billion people.
2000 CE,2000-05-25,End of Israeli occupation of Lebanon.
2000 CE,2000-06-17,A centennial earthquake (6.5 on the Richter scale) hits Iceland on its national day.
2000 CE,2000-07-01,The Øresund Bridge between Denmark and Sweden is officially opened for traffic.
2000 CE,2000-07-02,"Vicente Fox is elected the first opposition President of Mexico, he was inaugurated on December 1, 2000."
2000 CE,2000-07-07,"The draft assembly of Human Genome Project is announced at the White House by US President Bill Clinton, Francis Collins, and Craig Venter."
2000 CE,2000-07-10,"At least 218 people are killed, about 700 are missing and presumed dead, and about 800 shanties are buried in a collapse of a dumpsite, destabilized by torrential rains caused by tropical cyclones, in Payatas, Quezon City."
2000 CE,2000-07-14,"A powerful solar flare, later named the Bastille Day event, causes a geomagnetic storm on Earth."
2000 CE,2000-07-25,"Concorde Air France Flight 4590 crashes in France, killing 113 including all people aboard."
2000 CE,2000-08-12,"Russian submarine Kursk explodes, killing all 118 crew."
2000 CE,2000-09-10,"A British military operation to free five soldiers from the Royal Irish Regiment that were held captive for over two weeks during the Sierra Leone Civil War, all of which were rescued."
2000 CE,2000-09-13,Steve Jobs introduces the public beta of Mac OS X.
2000 CE,2000-09-26,The Greek ferry Express Samina sinks off the coast of the island of Paros; 80 out of a total of over 500 passengers perish in one of Greece's worst sea disasters.
2000 CE,2000-09-28,The Second Intifada begins.
2000 CE,2000-10-05,Yugoslav President Slobodan Milošević resigns following a revolution in Belgrade.
2000 CE,2000-10-12,al-Qaeda suicide bombs the USS Cole; 17 sailors are killed.
2000 CE,2000-11-02,"International Space Station begins operations; its first crew, composed of three men, arrives."
2000 CE,2000-11-07,George W. Bush is elected President of the United States.
2000 CE,2000-12-25,The Luoyang Christmas fire at a shopping center in China kills 309 people.
2001 CE,2001-01-15,Wikipedia is launched.
2001 CE,2001-01-20,George W. Bush is inaugurated as President of the United States.
2001 CE,2001-01-26,"An earthquake strikes Gujarat, India, on Republic Day, resulting in more than 20,000 deaths."
2001 CE,2001-06-01,"Eleven members of the royal family of Nepal, including the king and queen, are killed by Crown Prince Dipendra, who wounds himself and dies three days later."
2001 CE,2001-09-11,"September 11 attacks: Nineteen Al-Qaeda terrorists hijack four planes, crashing two into the twin towers of the World Trade Center in New York City, the third plane into the Pentagon in Washington, DC, while the fourth plane is downed on the outskirts of Stonycreek Township, Pennsylvania. 2,996 people, including 2,977 victims and 19 hijackers, die in the attacks."
2001 CE,2001-11-12,Crash of American Airlines Flight 587.
2001 CE,2001-12-03,Enron files for Chapter 11 bankruptcy after a series of scandals.
2001 CE,2001-12-11,China becomes a member of the World Trade Organization.
2001 CE,2001-12-19,Movie The Lord of the Rings: The Fellowship of the Ring is released.
2002 CE,2002-01-01,The Euro enters circulation.
2002 CE,2002-02-03,"Tom Brady leads the New England Patriots to win their first Super Bowl; during a nearly two decade span, they would appear in ten, winning seven."
2002 CE,2002-02-06,Golden Jubilee of Elizabeth II.
2002 CE,2002-02-08,The Algerian Civil War ends.
2002 CE,2002-03-14,SpaceX is founded by Elon Musk.
2002 CE,2002-05-20,East Timor gains independence.
2002 CE,2002-06-11,The first episode of American Idol airs on Fox.
2002 CE,2002-07-01,The International Criminal Court is established.
2002 CE,2002-07-09,The African Union is founded.
2002 CE,2002-09-19,The First Ivorian Civil War begins.
2002 CE,2002-09-23,Mozilla Firefox is released.
2002 CE,2002-10-12,The 2002 Bali bombings killed 202 people and injured 209 more.
2002 CE,2002-11-16,The 2002-2004 SARS outbreak began in Guangdong.
2002 CE,2002-12-18,The Lord of the Rings: The Two Towers is released.
2003 CE,2003-02-01,"Space Shuttle Columbia disintegrates upon reentry, killing all 7 astronauts on board."
2003 CE,2003-02-20,The Station nightclub fire.
2003 CE,2003-03-19,"The United States invades Iraq and ousts Saddam Hussein, triggering worldwide protests and an 8 year war."
2003 CE,2003-08-05,2003 Marriott Hotel bombing kills 12 people.
2003 CE,2003-11-17,Arnold Schwarzenegger becomes Governor of California.
2003 CE,2003-12-17,The Lord of the Rings: The Return of the King is released.
2004 CE,2004-02-04,"Facebook is formed by Mark Zuckerberg, Andrew McCollum, Eduardo Saverin, Dustin Moskovitz, and Chris Hughes."
2004 CE,2004-02-27,The 2004 SuperFerry 14 bombing kills 116 people.
2004 CE,2004-03-11,"Madrid train bombings killed 193 people and injured around 2,000, Europe's deadliest attack since Pan Am Flight 103."
2004 CE,2004-06-05,Death and state funeral of Ronald Reagan.
2004 CE,2004-11-11,President of the Palestinian National Authority Yasser Arafat dies.
2004 CE,2004-12-08,Union of South American Nations formed.
2004 CE,2004-12-26,"Boxing Day Tsunami occurs in Indian Ocean, leading to the deaths of 230,000."
2005 CE,2005-01-09,Second Sudanese Civil War ends.
2005 CE,2005-02-16,The Kyoto Protocol comes into effect.
2005 CE,2005-04-09,Wedding of Prince Charles and Camilla Parker Bowles.
2005 CE,2005-06-13,Michael Jackson was acquitted on all charges related to the alleged sexual abuse of a 13-year-old boy.
2005 CE,2005-06-23,"Reddit is founded by Steve Huffman, Aaron Swartz and Alexis Ohanian."
2005 CE,2005-07-07,7/7 attacks on London Underground.
2005 CE,2005-07-28,The Provisional Irish Republican Army ends its military campaign in Northern Ireland.
2005 CE,2005-07-29,Michael E. Brown confirms Eris.
2005 CE,2005-08-03,Mahmoud Ahmadinejad becomes President of Iran.
2005 CE,2005-08-18,"Peace Mission 2005, the first joint China–Russia military exercise, begins its eight-day training on the Shandong Peninsula."
2005 CE,2005-09-29,John Roberts becomes Chief Justice of the United States.
2005 CE,2005-09-30,"Controversial drawings of Muhammad are printed in the Danish newspaper Jyllands-Posten, sparking outrage and violent riots by Muslims around the world."
2005 CE,2005-10-08,"80,000 were killed in an earthquake in Kashmir, Pakistan and Afghanistan."
2005 CE,2005-11-22,Angela Merkel becomes Germany's first female Chancellor.
2005 CE,2005-11-30,Surgeons in France carry out the first human face transplant with Isabelle Dinoire becoming the first person to undergo it.
2006 CE,2006-01-16,"Ellen Johnson Sirleaf becomes President of Liberia, and thus Africa's first elected female head of state."
2006 CE,2006-01-25,Hamas wins the 2006 Palestinian legislative election.
2006 CE,2006-02-17,2006 Southern Leyte mudslide.
2006 CE,2006-02-22,2006 al-Askari mosque bombing turns the escalation of sectarian violence in Iraq into a full-scale war (the Iraqi Civil War of 2006-2008).
2006 CE,2006-03-21,Twitter is launched.
2006 CE,2006-04-23,Spotify is launched.
2006 CE,2006-05-05,The first episode of Mickey Mouse Clubhouse airs on Disney Channel.
2006 CE,2006-07-11,Mumbai bombings.
2006 CE,2006-08-11,Guimaras oil spill.
2006 CE,2006-09-01,Roblox was released by David Baszucki.
2006 CE,2006-09-19,A coup d'état in Thailand overthrows the government of Prime Minister Thaksin Shinawatra.
2006 CE,2006-10-18,Murder of Altantuya Shaaribuu: The Mongolian model was murdered in Malaysia.
2006 CE,2006-11-01,Former Russian security agent Alexander Litvinenko dies from poisoning in the UK.
2006 CE,2006-11-21,Comprehensive Peace Accord ends the Nepalese Civil War.
2006 CE,2006-12-26,Death and state funeral of Gerald Ford.
2006 CE,2006-12-30,Execution of Saddam Hussein by hanging.
2007 CE,2007-01-04,Nancy Pelosi becomes the first female Speaker of the United States House of Representatives.
2007 CE,2007-01-09,Introduction of the iPhone.
2007 CE,2007-01-25,"A civil war escalated in the Gaza Strip throughout June, which resulted in Hamas eventually driving most Fatah-loyal forces from the Strip. In reaction, Palestinian president Mahmoud Abbas dismissed Hamas prime minister Ismail Haniyeh and dissolved the Hamas-ruled parliament."
2007 CE,2007-03-04,First Ivorian Civil War ends.
2007 CE,2007-08-15,Anti-government protests in Myanmar suppressed by ruling junta.
2007 CE,2007-11-29,Manila Peninsula siege.
2007 CE,2007-12-13,"27 EU member states sign the Treaty of Lisbon, with the treaty coming into effect on December 1, 2009."
2007 CE,2007-12-27,Assassination of Benazir Bhutto.
2008 CE,2008-05-07,Dmitry Medvedev becomes President of Russia.
2008 CE,2008-05-28,"The 1st Nepalese Constituent Assembly declares Nepal a republic, ending its monarchy."
2008 CE,2008-11-04,Barack Obama is elected to become the first black President of the United States.
2009 CE,2009-01-03,The cryptocurrency Bitcoin is launched.
2009 CE,2009-01-15,"US Airways Flight 1549 ditches in the Hudson River in an accident that becomes known as the 'Miracle on the Hudson', as all 155 people on board are rescued."
2009 CE,2009-01-20,"Barack Obama is inaugurated as President of the United States, the first African-American to hold the office."
2009 CE,2009-06-16,Formation of BRICS economic bloc.
2009 CE,2009-06-19,Zynga release FarmVille.
2009 CE,2009-06-25,Death of Michael Jackson.
2009 CE,2009-09-26,Typhoon Ketsana kills 789 people in the Philippines.
2009 CE,2009-12-01,The Treaty of Lisbon comes into force.
2009 CE,2009-12-18,Avatar is released in cinemas and becomes the highest-grossing film of all time.
2010 CE,2010-01-12,"A 7.0 magnitude earthquake in Haiti kills 230,000."
2010 CE,2010-02-18,2010 Nigerien coup d'état.
2010 CE,2010-03-29,2010 Moscow Metro bombings.
2010 CE,2010-04-10,"The President of Poland, Lech Kaczyński, is among 96 killed when their airplane crashes in Smolensk."
2010 CE,2010-04-20,The largest oil spill in US history occurs in the Gulf of Mexico.
2010 CE,2010-05-11,"After the 2010 United Kingdom general election, David Cameron becomes Prime Minister of the United Kingdom."
2010 CE,2010-05-31,Gaza flotilla raid.
2010 CE,2010-08-23,Manila hostage crisis.
2010 CE,2010-11-23,North Korea shells the island of Yeonpyeong.
2011 CE,2011-02-22,"Christchurch earthquake kills 185 and injures 2,000."
2011 CE,2011-03-11,A 9.0 earthquake in Japan triggers a tsunami and the meltdown of the Fukushima Nuclear Power Plant.
2011 CE,2011-05-02,Osama bin Laden is shot dead by United States Navy SEALs in Pakistan.
2011 CE,2011-07-09,Independence of South Sudan.
2011 CE,2011-07-22,2011 Norway attacks.
2011 CE,2011-10-20,Muammar Gaddafi is captured and killed during the Battle of Sirte.
2011 CE,2011-11-18,Mojang released Minecraft.
2012 CE,2012-01-13,Costa Concordia disaster.
2012 CE,2012-02-26,"Killing of Trayvon Martin: The 17-year-old African-American high school student was killed in Sanford, Florida."
2012 CE,2012-04-12,King release Candy Crush Saga.
2012 CE,2012-05-07,Vladimir Putin is elected president of Russia for the third time.
2012 CE,2012-07-15,"Gangnam Style, a K-pop song by South Korean rapper Psy is released and becomes the worldwide phenomenon due to recognition of Guinness World Records as the most 'liked' video on YouTube at the time."
2012 CE,2012-07-20,"2012 Aurora, Colorado shooting."
2012 CE,2012-10-09,Assassination attempt on Pakistani schoolgirl Malala Yousafzai.
2012 CE,2012-11-06,"Barack Obama wins second term as President of the United States, defeating former Massachusetts Governor Mitt Romney."
2012 CE,2012-11-15,Xi Jinping is elected as General Secretary of the Chinese Communist Party.
2012 CE,2012-12-14,Sandy Hook Elementary School shooting.
2013 CE,2013-02-15,"An undiscovered meteor strikes the Chelyabinsk oblast in Russia, with an airburst injuring thousands and damaging many buildings."
2013 CE,2013-03-05,Death and state funeral of Hugo Chavez.
2013 CE,2013-04-24,The Rana Plaza collapses in Bangladesh.
2013 CE,2013-05-22,"British Army soldier Fusilier Lee Rigby of the Royal Regiment of Fusiliers is murdered in Woolwich, southeast London by Islamic terrorists Michael Adebolajo and Michael Adebowale."
2013 CE,2013-07-03,President of Egypt Mohamed Morsi is deposed by the military in a coup d'état.
2013 CE,2013-07-22,Birth of Prince George of Wales.
2013 CE,2013-08-21,"A chemical attack in Ghouta, Syria is blamed on President Bashar al-Assad."
2013 CE,2013-09-17,Rockstar Games release Grand Theft Auto V.
2013 CE,2013-10-15,"A 7.2 magnitude earthquake in Bohol, kills 222."
2013 CE,2013-11-08,"Typhoon Haiyan kills nearly 6,150 people in Vietnam and the Philippines."
2013 CE,2013-11-21,The Euromaidan protest begins in Ukraine.
2013 CE,2013-12-05,Death and state funeral of Nelson Mandela.
2014 CE,2014-03-08,Malaysia Airlines Flight 370 disappears from radar while en route to Beijing from Kuala Lumpur. There were 239 people on board.
2014 CE,2014-04-16,"The MV Sewol sinks, killing 304 of 476 passengers, 250 of which were students at Danwon High School."
2014 CE,2014-05-22,A coup d'état in Thailand overthrows the caretaker government.
2014 CE,2014-06-19,King Juan Carlos I of Spain abdicates; his son becomes King Felipe VI.
2014 CE,2014-08-09,"The shooting of African-American teenager Michael Brown by police leads to violent unrest in Ferguson, Missouri."
2014 CE,2014-11-12,The Rosetta spacecraft's Philae probe becomes the first to successfully land on a comet.
2014 CE,2014-12-16,Tehrik-i-Taliban Pakistan kill over 130 students in Pakistan.
2015 CE,2015-01-01,Five former Soviet Union countries form the Eurasian Economic Union.
2015 CE,2015-01-25,Mamasapano clash.
2015 CE,2015-04-02,"Al-Shabaab perpetrates a mass shooting in Kenya, killing 148."
2015 CE,2015-05-03,Floyd Mayweather Jr. vs. Manny Pacquiao.
2015 CE,2015-05-13,Kentex slipper factory fire.
2015 CE,2015-07-14,"Joint Comprehensive Plan of Action agreement reached, setting limits to Iran's nuclear program in exchange for sanctions relief."
2015 CE,2015-09-28,The first episode of FPJ's Ang Probinsyano airs on ABS-CBN.
2015 CE,2015-09-30,Russia begins air strikes against ISIL and anti-government forces in Syria.
2016 CE,2016-01-08,El Chapo is recaptured following his escape from a high-security prison in Mexico.
2016 CE,2016-02-11,Detection of gravitational waves by LIGO confirmed.
2016 CE,2016-03-20,Barack Obama becomes the first U.S. president to visit Cuba since Calvin Coolidge in 1928.
2016 CE,2016-04-03,"Panama Papers, a leak of legal documents, reveals information of 214,888 offshore companies."
2016 CE,2016-04-13,The Golden State Warriors set the NBA single-season victory mark by notching their 73rd win in the season's final game. The Warriors finished the regular-season with a 73–9 record.
2016 CE,2016-05-09,"Rodrigo Duterte becomes President of the Philippines, and initiates a controversial drug war."
2016 CE,2016-06-01,"The Gotthard Base Tunnel, the world's longest and deepest railway tunnel, is completed."
2016 CE,2016-06-12,"A shooter kills 49 people at a gay nightclub in Orlando, Florida."
2016 CE,2016-07-04,Juno enters orbit into Jupiter.
2016 CE,2016-09-04,Mother Teresa is officially canonized by Pope Francis.
2016 CE,2016-11-04,"The Paris Agreement, signed by 195 nations to fight global warming, formally goes into effect."
2016 CE,2016-11-08,"Donald Trump wins the 2016 presidential election, in an upset against Hillary Clinton, the first female to be nominated for a major party."
2017 CE,2017-01-20,Donald Trump is inaugurated as President of the United States.
2017 CE,2017-01-21,"Millions of people participated in the Women's March, as a response to the inauguration of Donald Trump."
2017 CE,2017-02-13,"Kim Jong-nam, the half-brother of Kim Jong-Un, is assassinated in Kuala Lumpur."
2017 CE,2017-05-13,"Pope Francis canonizes Jacinta and Francisco Marto, two of the three Fátima children who reported seeing the Virgin Mary in the spring and summer of 1917."
2017 CE,2017-05-22,"A terrorist bombing attack at an Ariana Grande concert in Manchester, England kills 22 people and injures over 140."
2017 CE,2017-07-04,Russia and China urge North Korea to halt its missile and nuclear programs after it successfully tested its first intercontinental ballistic missile.
2017 CE,2017-08-21,A solar eclipse passes throughout the contiguous United States for the first time since 1918.
